0332 0
16 0
17 0
1800 0
19 0
1963 0
1976 0
1994 0
2004 0
2008 0
2011 0
2014 0
2132 0
24 0
40 0
46 0
509th 0
932 0
abbott 0
abbotts 0
abroad 0
access 0
acknowledged 0
active 0
administered 0
administrations 0
adopted 0
advised 0
affect 0
agreement 0
ahead 0
alive 0
alsup 0
american 0
americans 0
americas 0
announced 0
appeal 0
appeals 0
argued 0
arguing 0
arguments 0
arias 0
arrest 0
arrested 0
arresting 0
asked 0
assistance 0
atlanta 0
attorney 0
attorneys 0
audible 0
awaited 0
awaiting 0
aware 0
babcock 0
began 0
begin 0
bill 0
block 0
blocks 0
board 0
booking 0
border 0
breaths 0
brothers 0
bush 0
california 0
capital 0
captured 0
car 0
carrying 0
case 0
cases 0
catherine 0
chamber 0
charge 0
circumstances 0
citizens 0
claims 0
clark 0
clear 0
clemency 0
cnn 0
cnns 0
commit 0
commitments 0
committed 0
compared 0
competent 0
concealed 0
concerned 0
congress 0
consular 0
consulate 0
consulates 0
contend 0
contest 0
contributed 0
convention 0
convicted 0
conviction 0
cop 0
count 0
countries 0
county 0
court 0
courts 0
crashed 0
crime 0
criminal 0
criticized 0
ct 0
cuevas 0
cst 0
date 0
dave 0
dead 0
death 0
declined 0
defense 0
delay 0
delayed 0
delays 0
demanding 0
denied 0
department 0
despicable 0
detrimental 0
diplomat 0
diplomatic 0
district 0
dose 0
doubt 0
dozen 0
driving 0
drug 0
e 0
earlier 0
edgar 0
effect 0
effectively 0
enforce 0
enforcing 0
ensure 0
ensured 0
evidence 0
executed 0
executes 0
execution 0
executions 0
extremely 0
fact 0
facts 0
failed 0
failure 0
fair 0
fairness 0
fatal 0
fatally 0
favour 0
fearing 0
federal 0
felony 0
final 0
fled 0
florida 0
foot 0
force 0
foreign 0
gaddis 0
general 0
george 0
gmt 0
gov 0
government 0
governments 0
governor 0
grant 0
greg 0
guaranteed 0
guidance 0
gustavo 0
guy 0
hague 0
hagues 0
halt 0
handcuffs 0
harder 0
harf 0
harris 0
head 0
hear 0
hearings 0
held 0
highest 0
holds 0
hometown 0
houston 0
huntsville 0
illegally 0
impact 0
impaired 0
implemented 0
important 0
including 0
indisputable 0
ineligible 0
informed 0
initially 0
injected 0
injection 0
inmates 0
inside 0
interests 0
international 0
involved 0
issue 0
issued 0
january 0
jason 0
john 0
jury 0
justice 0
kerry 0
key 0
killed 0
killer 0
killing 0
l 0
lack 0
lastday 0
lastditch 0
lastminute 0
law 0
laws 0
lawyers 0
leaders 0
leaving 0
legal 0
legislation 0
lethal 0
letter 0
levin 0
living 0
local 0
looked 0
lower 0
lucy 0
made 0
maintained 0
make 0
makes 0
making 0
man 0
mandated 0
marie 0
marks 0
matter 0
maurie 0
mayra 0
mears 0
men 0
mentally 0
met 0
mexican 0
mexicans 0
mexico 0
mexicos 0
miacatlan 0
midnight 0
ministry 0
minutes 0
mother 0
motion 0
motorcycles 0
move 0
movement 0
mr 0
mumbled 0
murder 0
nashed 0
national 0
nationals 0
nations 0
neck 0
necklace 0
netherlands 0
nick 0
night 0
notified 0
obama 0
objections 0
obligations 0
offenders 0
offers 0
office 0
officer 0
officers 0
officials 0
oppose 0
opposed 0
order 0
ordered 0
outcome 0
overseas 0
pants 0
pardon 0
pardons 0
parker 0
paroled 0
paroles 0
pass 0
past 0
patrolman 0
penalty 0
pentobarbital 0
people 0
perry 0
photo 0
pictured 0
pistol 0
place 0
pleas 0
pm 0
police 0
policy 0
prejudiced 0
president 0
pressure 0
previously 0
prison 0
prisons 0
procedures 0
process 0
promises 0
pronounced 0
properly 0
prosecutor 0
protected 0
protection 0
protest 0
protests 0
provide 0
provided 0
provision 0
punishment 0
push 0
pushing 0
put 0
raised 0
raising 0
ranking 0
rare 0
reads 0
reason 0
receive 0
received 0
recent 0
reconsider 0
record 0
records 0
refused 0
reinstated 0
rejected 0
relations 0
relatives 0
repeated 0
repercussions 0
report 0
reported 0
request 0
required 0
respect 0
review 0
revving 0
rick 0
rights 0
robbery 0
row 0
ruled 0
ruling 0
safety 0
sandra 0
scene 0
scheduled 0
secondhighest 0
secretary 0
seek 0
selected 0
sentence 0
served 0
setting 0
shoichet 0
shook 0
shooting 0
shot 0
show 0
showed 0
showing 0
sides 0
sign 0
similar 0
situations 0
sixteen 0
slain 0
slaying 0
slightly 0
snore 0
spanish 0
speak 0
spokesman 0
spokeswoman 0
spurned 0
stance 0
state 0
statement 0
states 0
stay 0
stopped 0
strongly 0
subject 0
subsequently 0
support 0
supporters 0
supreme 0
sympathy 0
syria 0
tainted 0
taking 0
tamayo 0
tamayos 0
technicality 0
texas 0
threatens 0
thursday 0
time 0
times 0
told 0
tonight 0
town 0
treated 0
treaty 0
trial 0
trousers 0
tuesday 0
ultimate 0
uncovered 0
undated 0
undermines 0
unfair 0
united 0
unsuccessfully 0
uphold 0
urged 0
usmexico 0
valdes 0
victim 0
victims 0
vienna 0
violate 0
violated 0
violates 0
violation 0
w 0
warden 0
warned 0
washington 0
watch 0
watched 0
wearing 0
wednesday 0
week 0
weighed 0
window 0
witnessed 0
witnesses 0
woman 0
word 0
wrote 0
year 0
years 0
